ELEMENT,Axis_0,Axis_1,C_PE_WE,C_PE_WE_P,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PE_WE,P_PE_WE_P,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2
-175000:-2775000,-175000,-2775000,786,786,556,441,856,0.786786786786787,0.786786786786787,0.556556556556557,0.441441441441441,0.856856856856857,999,999,999,999,999
-175000:-2825000,-175000,-2825000,394,394,784,741,69,0.394394394394394,0.394394394394394,0.784784784784785,0.741741741741742,0.0690690690690691,999,999,999,999,999
-175000:-2875000,-175000,-2875000,214,214,857,773,4,0.214214214214214,0.214214214214214,0.857857857857858,0.773773773773774,0.004004004004004,999,999,999,999,999
-175000:-2925000,-175000,-2925000,13,13,195,463,59,0.013013013013013,0.013013013013013,0.195195195195195,0.463463463463463,0.0590590590590591,999,999,999,999,999
-175000:-2975000,-175000,-2975000,7,7,254,442,3,0.00700700700700701,0.00700700700700701,0.254254254254254,0.442442442442442,0.003003003003003,999,999,999,999,999
-175000:-3075000,-175000,-3075000,52,52,370,534,48,0.0520520520520521,0.0520520520520521,0.37037037037037,0.534534534534535,0.048048048048048,999,999,999,999,999
-175000:-3125000,-175000,-3125000,4,4,158,408,3,0.004004004004004,0.004004004004004,0.158158158158158,0.408408408408408,0.003003003003003,999,999,999,999,999
-175000:-3175000,-175000,-3175000,0,0,138,400,2,0,0,0.138138138138138,0.4004004004004,0.002002002002002,999,999,999,999,999
-175000:-3225000,-175000,-3225000,1,1,160,425,0,0.001001001001001,0.001001001001001,0.16016016016016,0.425425425425425,0,999,999,999,999,999
-175000:-3275000,-175000,-3275000,1,1,116,459,1,0.001001001001001,0.001001001001001,0.116116116116116,0.459459459459459,0.001001001001001,999,999,999,999,999
-175000:-3325000,-175000,-3325000,1,1,134,438,4,0.001001001001001,0.001001001001001,0.134134134134134,0.438438438438438,0.004004004004004,999,999,999,999,999
-175000:-3425000,-175000,-3425000,634,634,849,821,257,0.634634634634635,0.634634634634635,0.84984984984985,0.821821821821822,0.257257257257257,999,999,999,999,999
-1775000:-2475000,-1775000,-2475000,493,493,670,658,261,0.493493493493493,0.493493493493493,0.670670670670671,0.658658658658659,0.261261261261261,999,999,999,999,999
-1775000:-2525000,-1775000,-2525000,900,900,578,363,950,0.900900900900901,0.900900900900901,0.578578578578579,0.363363363363363,0.950950950950951,999,999,999,999,999
-1775000:-2575000,-1775000,-2575000,854,854,915,908,545,0.854854854854855,0.854854854854855,0.915915915915916,0.908908908908909,0.545545545545546,999,999,999,999,999
-1775000:-2625000,-1775000,-2625000,953,953,954,961,769,0.953953953953954,0.953953953953954,0.954954954954955,0.961961961961962,0.76976976976977,999,999,999,999,999
-1775000:-2675000,-1775000,-2675000,790,790,221,34,944,0.790790790790791,0.790790790790791,0.221221221221221,0.034034034034034,0.944944944944945,999,999,999,999,999
-1775000:-2725000,-1775000,-2725000,540,540,247,129,764,0.540540540540541,0.540540540540541,0.247247247247247,0.129129129129129,0.764764764764765,999,999,999,999,999
-1775000:-2775000,-1775000,-2775000,973,973,766,882,987,0.973973973973974,0.973973973973974,0.766766766766767,0.882882882882883,0.987987987987988,999,999,999,999,999
-1775000:-2825000,-1775000,-2825000,929,929,849,892,874,0.92992992992993,0.92992992992993,0.84984984984985,0.892892892892893,0.874874874874875,999,999,999,999,999
-1775000:-2875000,-1775000,-2875000,767,767,635,609,763,0.767767767767768,0.767767767767768,0.635635635635636,0.60960960960961,0.763763763763764,999,999,999,999,999
-1775000:-2925000,-1775000,-2925000,457,457,197,108,766,0.457457457457457,0.457457457457457,0.197197197197197,0.108108108108108,0.766766766766767,999,999,999,999,999
-1775000:-2975000,-1775000,-2975000,976,976,946,977,960,0.976976976976977,0.976976976976977,0.946946946946947,0.977977977977978,0.960960960960961,999,999,999,999,999
-1775000:-3025000,-1775000,-3025000,955,955,309,10,997,0.955955955955956,0.955955955955956,0.309309309309309,0.01001001001001,0.997997997997998,999,999,999,999,999
-1775000:-3075000,-1775000,-3075000,951,951,689,513,970,0.951951951951952,0.951951951951952,0.68968968968969,0.513513513513513,0.970970970970971,999,999,999,999,999
-1825000:-2475000,-1825000,-2475000,994,994,988,995,984,0.994994994994995,0.994994994994995,0.988988988988989,0.995995995995996,0.984984984984985,999,999,999,999,999
-1825000:-2525000,-1825000,-2525000,996,996,997,998,929,0.996996996996997,0.996996996996997,0.997997997997998,0.998998998998999,0.92992992992993,999,999,999,999,999
-1825000:-2575000,-1825000,-2575000,981,981,998,989,726,0.981981981981982,0.981981981981982,0.998998998998999,0.98998998998999,0.726726726726727,999,999,999,999,999
-1825000:-2625000,-1825000,-2625000,995,995,989,995,984,0.995995995995996,0.995995995995996,0.98998998998999,0.995995995995996,0.984984984984985,999,999,999,999,999
-1825000:-2675000,-1825000,-2675000,972,972,978,988,818,0.972972972972973,0.972972972972973,0.978978978978979,0.988988988988989,0.818818818818819,999,999,999,999,999
-1825000:-2725000,-1825000,-2725000,691,691,464,363,737,0.691691691691692,0.691691691691692,0.464464464464464,0.363363363363363,0.737737737737738,999,999,999,999,999
-1825000:-2775000,-1825000,-2775000,684,684,562,527,664,0.684684684684685,0.684684684684685,0.562562562562563,0.527527527527528,0.664664664664665,999,999,999,999,999
-1825000:-2825000,-1825000,-2825000,967,967,894,946,948,0.967967967967968,0.967967967967968,0.894894894894895,0.946946946946947,0.948948948948949,999,999,999,999,999
-1825000:-2875000,-1825000,-2875000,85,85,159,339,313,0.0850850850850851,0.0850850850850851,0.159159159159159,0.339339339339339,0.313313313313313,999,999,999,999,999
-1825000:-2925000,-1825000,-2925000,999,999,991,999,998,1,1,0.991991991991992,1,0.998998998998999,999,999,999,999,999
-1825000:-2975000,-1825000,-2975000,5,5,0,1,985,0.005005005005005,0.005005005005005,0,0.001001001001001,0.985985985985986,999,999,999,999,999
-1825000:-3025000,-1825000,-3025000,999,999,974,999,999,1,1,0.974974974974975,1,1,999,999,999,999,999
-1875000:-2525000,-1875000,-2525000,995,995,991,996,965,0.995995995995996,0.995995995995996,0.991991991991992,0.996996996996997,0.965965965965966,999,999,999,999,999
-1875000:-2725000,-1875000,-2725000,937,937,753,822,934,0.937937937937938,0.937937937937938,0.753753753753754,0.822822822822823,0.934934934934935,999,999,999,999,999
-1875000:-2775000,-1875000,-2775000,989,989,923,984,986,0.98998998998999,0.98998998998999,0.923923923923924,0.984984984984985,0.986986986986987,999,999,999,999,999
-1875000:-2875000,-1875000,-2875000,207,207,589,619,123,0.207207207207207,0.207207207207207,0.58958958958959,0.61961961961962,0.123123123123123,999,999,999,999,999
-1875000:-2925000,-1875000,-2925000,200,200,87,125,614,0.2002002002002,0.2002002002002,0.0870870870870871,0.125125125125125,0.614614614614615,999,999,999,999,999
-225000:-1225000,-225000,-1225000,734,734,735,740,616,0.734734734734735,0.734734734734735,0.735735735735736,0.740740740740741,0.616616616616617,999,999,999,999,999
-225000:-1375000,-225000,-1375000,782,782,740,809,650,0.782782782782783,0.782782782782783,0.740740740740741,0.80980980980981,0.650650650650651,999,999,999,999,999
-225000:-1425000,-225000,-1425000,795,795,863,862,501,0.795795795795796,0.795795795795796,0.863863863863864,0.862862862862863,0.501501501501502,999,999,999,999,999
-225000:-1475000,-225000,-1475000,794,794,865,860,550,0.794794794794795,0.794794794794795,0.865865865865866,0.860860860860861,0.550550550550551,999,999,999,999,999
-225000:-1525000,-225000,-1525000,360,360,312,287,545,0.36036036036036,0.36036036036036,0.312312312312312,0.287287287287287,0.545545545545546,999,999,999,999,999
-225000:-1575000,-225000,-1575000,663,663,616,610,587,0.663663663663664,0.663663663663664,0.616616616616617,0.610610610610611,0.587587587587588,999,999,999,999,999
-225000:-1625000,-225000,-1625000,467,467,458,455,460,0.467467467467467,0.467467467467467,0.458458458458458,0.455455455455455,0.46046046046046,999,999,999,999,999
-225000:-1675000,-225000,-1675000,476,476,621,621,326,0.476476476476476,0.476476476476476,0.621621621621622,0.621621621621622,0.326326326326326,999,999,999,999,999
-225000:-1725000,-225000,-1725000,560,560,724,717,305,0.560560560560561,0.560560560560561,0.724724724724725,0.717717717717718,0.305305305305305,999,999,999,999,999
-225000:-1775000,-225000,-1775000,545,545,669,669,360,0.545545545545546,0.545545545545546,0.66966966966967,0.66966966966967,0.36036036036036,999,999,999,999,999
-225000:-1825000,-225000,-1825000,312,312,353,363,388,0.312312312312312,0.312312312312312,0.353353353353353,0.363363363363363,0.388388388388388,999,999,999,999,999
-225000:-1875000,-225000,-1875000,32,32,185,357,50,0.032032032032032,0.032032032032032,0.185185185185185,0.357357357357357,0.0500500500500501,999,999,999,999,999
-225000:-1925000,-225000,-1925000,380,380,370,367,434,0.38038038038038,0.38038038038038,0.37037037037037,0.367367367367367,0.434434434434434,999,999,999,999,999
-225000:-1975000,-225000,-1975000,373,373,661,657,151,0.373373373373373,0.373373373373373,0.661661661661662,0.657657657657658,0.151151151151151,999,999,999,999,999
-225000:-2025000,-225000,-2025000,51,51,166,298,106,0.0510510510510511,0.0510510510510511,0.166166166166166,0.298298298298298,0.106106106106106,999,999,999,999,999
-225000:-2075000,-225000,-2075000,405,405,572,574,275,0.405405405405405,0.405405405405405,0.572572572572573,0.574574574574575,0.275275275275275,999,999,999,999,999
-225000:-2125000,-225000,-2125000,284,284,587,585,108,0.284284284284284,0.284284284284284,0.587587587587588,0.585585585585586,0.108108108108108,999,999,999,999,999
-225000:-2175000,-225000,-2175000,253,253,525,543,133,0.253253253253253,0.253253253253253,0.525525525525526,0.543543543543544,0.133133133133133,999,999,999,999,999
-225000:-2225000,-225000,-2225000,797,797,594,549,851,0.797797797797798,0.797797797797798,0.594594594594595,0.54954954954955,0.851851851851852,999,999,999,999,999
-225000:-2275000,-225000,-2275000,138,138,641,682,18,0.138138138138138,0.138138138138138,0.641641641641642,0.682682682682683,0.018018018018018,999,999,999,999,999
-225000:-2325000,-225000,-2325000,330,330,604,623,157,0.33033033033033,0.33033033033033,0.604604604604605,0.623623623623624,0.157157157157157,999,999,999,999,999
-225000:-2375000,-225000,-2375000,743,743,951,898,136,0.743743743743744,0.743743743743744,0.951951951951952,0.898898898898899,0.136136136136136,999,999,999,999,999
-225000:-2425000,-225000,-2425000,315,315,85,142,710,0.315315315315315,0.315315315315315,0.0850850850850851,0.142142142142142,0.710710710710711,999,999,999,999,999
-225000:-2475000,-225000,-2475000,155,155,479,548,65,0.155155155155155,0.155155155155155,0.479479479479479,0.548548548548549,0.0650650650650651,999,999,999,999,999
-225000:-2525000,-225000,-2525000,288,288,612,633,90,0.288288288288288,0.288288288288288,0.612612612612613,0.633633633633634,0.0900900900900901,999,999,999,999,999
-225000:-2575000,-225000,-2575000,79,79,218,380,299,0.0790790790790791,0.0790790790790791,0.218218218218218,0.38038038038038,0.299299299299299,999,999,999,999,999
-225000:-2625000,-225000,-2625000,959,959,916,952,935,0.95995995995996,0.95995995995996,0.916916916916917,0.952952952952953,0.935935935935936,999,999,999,999,999
-225000:-2675000,-225000,-2675000,2,2,96,395,19,0.002002002002002,0.002002002002002,0.0960960960960961,0.395395395395395,0.019019019019019,999,999,999,999,999
-225000:-2725000,-225000,-2725000,751,751,916,885,288,0.751751751751752,0.751751751751752,0.916916916916917,0.885885885885886,0.288288288288288,999,999,999,999,999
-225000:-2775000,-225000,-2775000,885,885,898,900,749,0.885885885885886,0.885885885885886,0.898898898898899,0.900900900900901,0.74974974974975,999,999,999,999,999
-225000:-2825000,-225000,-2825000,421,421,877,789,25,0.421421421421421,0.421421421421421,0.877877877877878,0.78978978978979,0.025025025025025,999,999,999,999,999
-225000:-2875000,-225000,-2875000,202,202,318,390,268,0.202202202202202,0.202202202202202,0.318318318318318,0.39039039039039,0.268268268268268,999,999,999,999,999
-225000:-2925000,-225000,-2925000,166,166,549,560,51,0.166166166166166,0.166166166166166,0.54954954954955,0.560560560560561,0.0510510510510511,999,999,999,999,999
-225000:-2975000,-225000,-2975000,414,414,381,386,441,0.414414414414414,0.414414414414414,0.381381381381381,0.386386386386386,0.441441441441441,999,999,999,999,999
-225000:-3025000,-225000,-3025000,46,46,248,439,78,0.046046046046046,0.046046046046046,0.248248248248248,0.439439439439439,0.0780780780780781,999,999,999,999,999
-225000:-3075000,-225000,-3075000,189,189,534,564,144,0.189189189189189,0.189189189189189,0.534534534534535,0.564564564564565,0.144144144144144,999,999,999,999,999
-225000:-3125000,-225000,-3125000,306,306,560,578,154,0.306306306306306,0.306306306306306,0.560560560560561,0.578578578578579,0.154154154154154,999,999,999,999,999
-225000:-3175000,-225000,-3175000,73,73,184,363,299,0.0730730730730731,0.0730730730730731,0.184184184184184,0.363363363363363,0.299299299299299,999,999,999,999,999
-225000:-3225000,-225000,-3225000,4,4,149,469,47,0.004004004004004,0.004004004004004,0.149149149149149,0.469469469469469,0.047047047047047,999,999,999,999,999
-225000:-3275000,-225000,-3275000,29,29,310,534,20,0.029029029029029,0.029029029029029,0.31031031031031,0.534534534534535,0.02002002002002,999,999,999,999,999
-225000:-3325000,-225000,-3325000,24,24,345,547,13,0.024024024024024,0.024024024024024,0.345345345345345,0.547547547547548,0.013013013013013,999,999,999,999,999
-225000:-3425000,-225000,-3425000,753,753,915,883,240,0.753753753753754,0.753753753753754,0.915915915915916,0.883883883883884,0.24024024024024,999,999,999,999,999
-25000:-1175000,-25000,-1175000,637,637,780,772,341,0.637637637637638,0.637637637637638,0.780780780780781,0.772772772772773,0.341341341341341,999,999,999,999,999
-25000:-1325000,-25000,-1325000,821,821,876,878,581,0.821821821821822,0.821821821821822,0.876876876876877,0.878878878878879,0.581581581581582,999,999,999,999,999
-25000:-1375000,-25000,-1375000,380,380,588,603,220,0.38038038038038,0.38038038038038,0.588588588588589,0.603603603603604,0.22022022022022,999,999,999,999,999
-25000:-1425000,-25000,-1425000,290,290,563,569,168,0.29029029029029,0.29029029029029,0.563563563563564,0.56956956956957,0.168168168168168,999,999,999,999,999
-25000:-1475000,-25000,-1475000,195,195,575,587,51,0.195195195195195,0.195195195195195,0.575575575575576,0.587587587587588,0.0510510510510511,999,999,999,999,999
-25000:-1525000,-25000,-1525000,370,370,690,687,125,0.37037037037037,0.37037037037037,0.690690690690691,0.687687687687688,0.125125125125125,999,999,999,999,999
-25000:-1575000,-25000,-1575000,258,258,621,630,86,0.258258258258258,0.258258258258258,0.621621621621622,0.630630630630631,0.0860860860860861,999,999,999,999,999
-25000:-1625000,-25000,-1625000,262,262,538,570,158,0.262262262262262,0.262262262262262,0.538538538538539,0.570570570570571,0.158158158158158,999,999,999,999,999
-25000:-1675000,-25000,-1675000,20,20,97,306,159,0.02002002002002,0.02002002002002,0.0970970970970971,0.306306306306306,0.159159159159159,999,999,999,999,999
-25000:-1725000,-25000,-1725000,639,639,778,807,263,0.63963963963964,0.63963963963964,0.778778778778779,0.807807807807808,0.263263263263263,999,999,999,999,999
-25000:-1775000,-25000,-1775000,18,18,64,244,160,0.018018018018018,0.018018018018018,0.0640640640640641,0.244244244244244,0.16016016016016,999,999,999,999,999
-25000:-1825000,-25000,-1825000,628,628,794,820,284,0.628628628628629,0.628628628628629,0.794794794794795,0.820820820820821,0.284284284284284,999,999,999,999,999
-25000:-1875000,-25000,-1875000,145,145,276,375,191,0.145145145145145,0.145145145145145,0.276276276276276,0.375375375375375,0.191191191191191,999,999,999,999,999
-25000:-1925000,-25000,-1925000,326,326,324,357,415,0.326326326326326,0.326326326326326,0.324324324324324,0.357357357357357,0.415415415415415,999,999,999,999,999
-25000:-1975000,-25000,-1975000,247,247,279,351,343,0.247247247247247,0.247247247247247,0.279279279279279,0.351351351351351,0.343343343343343,999,999,999,999,999
-25000:-2025000,-25000,-2025000,274,274,225,259,481,0.274274274274274,0.274274274274274,0.225225225225225,0.259259259259259,0.481481481481481,999,999,999,999,999
-25000:-2075000,-25000,-2075000,931,931,714,744,931,0.931931931931932,0.931931931931932,0.714714714714715,0.744744744744745,0.931931931931932,999,999,999,999,999
-25000:-2175000,-25000,-2175000,490,490,759,738,156,0.49049049049049,0.49049049049049,0.75975975975976,0.738738738738739,0.156156156156156,999,999,999,999,999
-25000:-2225000,-25000,-2225000,205,205,149,221,515,0.205205205205205,0.205205205205205,0.149149149149149,0.221221221221221,0.515515515515516,999,999,999,999,999
-25000:-2325000,-25000,-2325000,619,619,834,814,309,0.61961961961962,0.61961961961962,0.834834834834835,0.814814814814815,0.309309309309309,999,999,999,999,999
-25000:-2375000,-25000,-2375000,82,82,749,686,0,0.0820820820820821,0.0820820820820821,0.74974974974975,0.686686686686687,0,999,999,999,999,999
-25000:-2425000,-25000,-2425000,169,169,842,745,1,0.169169169169169,0.169169169169169,0.842842842842843,0.745745745745746,0.001001001001001,999,999,999,999,999
-25000:-2475000,-25000,-2475000,170,170,758,684,2,0.17017017017017,0.17017017017017,0.758758758758759,0.684684684684685,0.002002002002002,999,999,999,999,999
-25000:-2525000,-25000,-2525000,206,206,861,768,0,0.206206206206206,0.206206206206206,0.861861861861862,0.768768768768769,0,999,999,999,999,999
-25000:-2575000,-25000,-2575000,23,23,474,576,0,0.023023023023023,0.023023023023023,0.474474474474474,0.576576576576577,0,999,999,999,999,999
-25000:-2625000,-25000,-2625000,3,3,540,562,0,0.003003003003003,0.003003003003003,0.540540540540541,0.562562562562563,0,999,999,999,999,999
-25000:-2675000,-25000,-2675000,48,48,451,561,4,0.048048048048048,0.048048048048048,0.451451451451451,0.561561561561562,0.004004004004004,999,999,999,999,999
-25000:-2725000,-25000,-2725000,99,99,194,251,154,0.0990990990990991,0.0990990990990991,0.194194194194194,0.251251251251251,0.154154154154154,999,999,999,999,999
-25000:-2775000,-25000,-2775000,270,270,413,438,235,0.27027027027027,0.27027027027027,0.413413413413413,0.438438438438438,0.235235235235235,999,999,999,999,999
-25000:-2825000,-25000,-2825000,372,372,729,708,90,0.372372372372372,0.372372372372372,0.72972972972973,0.708708708708709,0.0900900900900901,999,999,999,999,999
-25000:-2875000,-25000,-2875000,441,441,819,766,67,0.441441441441441,0.441441441441441,0.81981981981982,0.766766766766767,0.0670670670670671,999,999,999,999,999
-25000:-2925000,-25000,-2925000,23,23,359,505,6,0.023023023023023,0.023023023023023,0.359359359359359,0.505505505505506,0.00600600600600601,999,999,999,999,999
-25000:-2975000,-25000,-2975000,103,103,362,499,62,0.103103103103103,0.103103103103103,0.362362362362362,0.4994994994995,0.0620620620620621,999,999,999,999,999
-25000:-3025000,-25000,-3025000,125,125,389,531,154,0.125125125125125,0.125125125125125,0.389389389389389,0.531531531531532,0.154154154154154,999,999,999,999,999
-25000:-3075000,-25000,-3075000,90,90,413,547,39,0.0900900900900901,0.0900900900900901,0.413413413413413,0.547547547547548,0.039039039039039,999,999,999,999,999
-25000:-3125000,-25000,-3125000,13,13,169,440,83,0.013013013013013,0.013013013013013,0.169169169169169,0.44044044044044,0.0830830830830831,999,999,999,999,999
-25000:-3175000,-25000,-3175000,8,8,104,339,51,0.00800800800800801,0.00800800800800801,0.104104104104104,0.339339339339339,0.0510510510510511,999,999,999,999,999
-25000:-3225000,-25000,-3225000,2,2,115,408,11,0.002002002002002,0.002002002002002,0.115115115115115,0.408408408408408,0.011011011011011,999,999,999,999,999
-25000:-3275000,-25000,-3275000,8,8,91,294,16,0.00800800800800801,0.00800800800800801,0.0910910910910911,0.294294294294294,0.016016016016016,999,999,999,999,999
-25000:-3325000,-25000,-3325000,3,3,240,447,0,0.003003003003003,0.003003003003003,0.24024024024024,0.447447447447447,0,999,999,999,999,999
-25000:-3375000,-25000,-3375000,40,40,273,462,87,0.04004004004004,0.04004004004004,0.273273273273273,0.462462462462462,0.0870870870870871,999,999,999,999,999
-25000:-3425000,-25000,-3425000,141,141,293,384,157,0.141141141141141,0.141141141141141,0.293293293293293,0.384384384384384,0.157157157157157,999,999,999,999,999
-25000:-3475000,-25000,-3475000,819,819,357,81,912,0.81981981981982,0.81981981981982,0.357357357357357,0.0810810810810811,0.912912912912913,999,999,999,999,999
-275000:-1525000,-275000,-1525000,454,454,682,680,234,0.454454454454454,0.454454454454454,0.682682682682683,0.680680680680681,0.234234234234234,999,999,999,999,999
-275000:-1575000,-275000,-1575000,680,680,535,423,736,0.680680680680681,0.680680680680681,0.535535535535536,0.423423423423423,0.736736736736737,999,999,999,999,999
-275000:-1625000,-275000,-1625000,120,120,322,387,118,0.12012012012012,0.12012012012012,0.322322322322322,0.387387387387387,0.118118118118118,999,999,999,999,999
-275000:-1675000,-275000,-1675000,265,265,305,342,348,0.265265265265265,0.265265265265265,0.305305305305305,0.342342342342342,0.348348348348348,999,999,999,999,999
-275000:-1725000,-275000,-1725000,277,277,291,310,412,0.277277277277277,0.277277277277277,0.291291291291291,0.31031031031031,0.412412412412412,999,999,999,999,999
-275000:-1775000,-275000,-1775000,300,300,210,199,532,0.3003003003003,0.3003003003003,0.21021021021021,0.199199199199199,0.532532532532533,999,999,999,999,999
-275000:-1825000,-275000,-1825000,269,269,487,524,192,0.269269269269269,0.269269269269269,0.487487487487487,0.524524524524524,0.192192192192192,999,999,999,999,999
-275000:-1875000,-275000,-1875000,174,174,356,430,167,0.174174174174174,0.174174174174174,0.356356356356356,0.43043043043043,0.167167167167167,999,999,999,999,999
-275000:-1925000,-275000,-1925000,61,61,406,450,18,0.0610610610610611,0.0610610610610611,0.406406406406406,0.45045045045045,0.018018018018018,999,999,999,999,999
-275000:-1975000,-275000,-1975000,66,66,404,471,13,0.0660660660660661,0.0660660660660661,0.404404404404404,0.471471471471471,0.013013013013013,999,999,999,999,999
-275000:-2025000,-275000,-2025000,148,148,170,249,346,0.148148148148148,0.148148148148148,0.17017017017017,0.249249249249249,0.346346346346346,999,999,999,999,999
-275000:-2075000,-275000,-2075000,238,238,443,479,168,0.238238238238238,0.238238238238238,0.443443443443443,0.479479479479479,0.168168168168168,999,999,999,999,999
-275000:-2125000,-275000,-2125000,775,775,452,285,874,0.775775775775776,0.775775775775776,0.452452452452452,0.285285285285285,0.874874874874875,999,999,999,999,999
-275000:-2175000,-275000,-2175000,846,846,684,702,849,0.846846846846847,0.846846846846847,0.684684684684685,0.702702702702703,0.84984984984985,999,999,999,999,999
-275000:-2225000,-275000,-2225000,539,539,642,641,386,0.53953953953954,0.53953953953954,0.642642642642643,0.641641641641642,0.386386386386386,999,999,999,999,999
-275000:-2275000,-275000,-2275000,14,14,288,480,3,0.014014014014014,0.014014014014014,0.288288288288288,0.48048048048048,0.003003003003003,999,999,999,999,999
-275000:-2325000,-275000,-2325000,279,279,764,713,24,0.279279279279279,0.279279279279279,0.764764764764765,0.713713713713714,0.024024024024024,999,999,999,999,999
-275000:-2375000,-275000,-2375000,60,60,506,564,8,0.0600600600600601,0.0600600600600601,0.506506506506507,0.564564564564565,0.00800800800800801,999,999,999,999,999
-275000:-2425000,-275000,-2425000,89,89,259,411,119,0.0890890890890891,0.0890890890890891,0.259259259259259,0.411411411411411,0.119119119119119,999,999,999,999,999
-275000:-2475000,-275000,-2475000,6,6,28,233,249,0.00600600600600601,0.00600600600600601,0.028028028028028,0.233233233233233,0.249249249249249,999,999,999,999,999
-275000:-2525000,-275000,-2525000,435,435,588,588,315,0.435435435435435,0.435435435435435,0.588588588588589,0.588588588588589,0.315315315315315,999,999,999,999,999
-275000:-2575000,-275000,-2575000,594,594,846,808,164,0.594594594594595,0.594594594594595,0.846846846846847,0.808808808808809,0.164164164164164,999,999,999,999,999
-275000:-2625000,-275000,-2625000,4,4,96,298,16,0.004004004004004,0.004004004004004,0.0960960960960961,0.298298298298298,0.016016016016016,999,999,999,999,999
-275000:-2675000,-275000,-2675000,681,681,880,851,256,0.681681681681682,0.681681681681682,0.880880880880881,0.851851851851852,0.256256256256256,999,999,999,999,999
-275000:-2725000,-275000,-2725000,843,843,885,884,605,0.843843843843844,0.843843843843844,0.885885885885886,0.884884884884885,0.605605605605606,999,999,999,999,999
-275000:-2775000,-275000,-2775000,184,184,589,634,29,0.184184184184184,0.184184184184184,0.58958958958959,0.634634634634635,0.029029029029029,999,999,999,999,999
-275000:-2825000,-275000,-2825000,100,100,693,644,0,0.1001001001001,0.1001001001001,0.693693693693694,0.644644644644645,0,999,999,999,999,999
-275000:-2875000,-275000,-2875000,69,69,690,658,1,0.0690690690690691,0.0690690690690691,0.690690690690691,0.658658658658659,0.001001001001001,999,999,999,999,999
-275000:-2925000,-275000,-2925000,616,616,734,731,416,0.616616616616617,0.616616616616617,0.734734734734735,0.731731731731732,0.416416416416416,999,999,999,999,999
-275000:-3025000,-275000,-3025000,0,0,10,287,31,0,0,0.01001001001001,0.287287287287287,0.031031031031031,999,999,999,999,999
-275000:-3075000,-275000,-3075000,10,10,331,517,0,0.01001001001001,0.01001001001001,0.331331331331331,0.517517517517518,0,999,999,999,999,999
-275000:-3125000,-275000,-3125000,125,125,530,590,24,0.125125125125125,0.125125125125125,0.530530530530531,0.590590590590591,0.024024024024024,999,999,999,999,999
-275000:-3175000,-275000,-3175000,143,143,292,397,209,0.143143143143143,0.143143143143143,0.292292292292292,0.397397397397397,0.209209209209209,999,999,999,999,999
-275000:-3275000,-275000,-3275000,135,135,602,665,28,0.135135135135135,0.135135135135135,0.602602602602603,0.665665665665666,0.028028028028028,999,999,999,999,999
-275000:-3425000,-275000,-3425000,197,197,341,416,218,0.197197197197197,0.197197197197197,0.341341341341341,0.416416416416416,0.218218218218218,999,999,999,999,999
-275000:-3475000,-275000,-3475000,675,675,707,709,572,0.675675675675676,0.675675675675676,0.707707707707708,0.70970970970971,0.572572572572573,999,999,999,999,999
-325000:-1575000,-325000,-1575000,16,16,86,279,151,0.016016016016016,0.016016016016016,0.0860860860860861,0.279279279279279,0.151151151151151,999,999,999,999,999
-325000:-1625000,-325000,-1625000,138,138,277,343,228,0.138138138138138,0.138138138138138,0.277277277277277,0.343343343343343,0.228228228228228,999,999,999,999,999
-325000:-1675000,-325000,-1675000,181,181,342,390,209,0.181181181181181,0.181181181181181,0.342342342342342,0.39039039039039,0.209209209209209,999,999,999,999,999
-325000:-1725000,-325000,-1725000,497,497,537,539,441,0.497497497497497,0.497497497497497,0.537537537537538,0.53953953953954,0.441441441441441,999,999,999,999,999
-325000:-1775000,-325000,-1775000,794,794,690,640,746,0.794794794794795,0.794794794794795,0.690690690690691,0.640640640640641,0.746746746746747,999,999,999,999,999
-325000:-1825000,-325000,-1825000,439,439,755,727,142,0.439439439439439,0.439439439439439,0.755755755755756,0.727727727727728,0.142142142142142,999,999,999,999,999
-325000:-1875000,-325000,-1875000,265,265,369,421,284,0.265265265265265,0.265265265265265,0.369369369369369,0.421421421421421,0.284284284284284,999,999,999,999,999
-325000:-1925000,-325000,-1925000,96,96,302,378,87,0.0960960960960961,0.0960960960960961,0.302302302302302,0.378378378378378,0.0870870870870871,999,999,999,999,999
-325000:-1975000,-325000,-1975000,131,131,457,529,63,0.131131131131131,0.131131131131131,0.457457457457457,0.529529529529529,0.0630630630630631,999,999,999,999,999
-325000:-2025000,-325000,-2025000,157,157,403,500,103,0.157157157157157,0.157157157157157,0.403403403403403,0.500500500500501,0.103103103103103,999,999,999,999,999
-325000:-2075000,-325000,-2075000,90,90,359,451,50,0.0900900900900901,0.0900900900900901,0.359359359359359,0.451451451451451,0.0500500500500501,999,999,999,999,999
-325000:-2125000,-325000,-2125000,63,63,354,465,25,0.0630630630630631,0.0630630630630631,0.354354354354354,0.465465465465465,0.025025025025025,999,999,999,999,999
-325000:-2175000,-325000,-2175000,895,895,801,861,857,0.895895895895896,0.895895895895896,0.801801801801802,0.861861861861862,0.857857857857858,999,999,999,999,999
