ELEMENT,Axis_0,Axis_1,C_PE_WE,C_PE_WE_P,C_PHYLO_RPE2,C_PHYLO_RPE_DIFF2,C_PHYLO_RPE_NULL2,P_PE_WE,P_PE_WE_P,P_PHYLO_RPE2,P_PHYLO_RPE_DIFF2,P_PHYLO_RPE_NULL2,Q_PE_WE,Q_PE_WE_P,Q_PHYLO_RPE2,Q_PHYLO_RPE_DIFF2,Q_PHYLO_RPE_NULL2
-1025000:-3175000,-1025000,-3175000,4,4,199,449,1,0.004004004004004,0.004004004004004,0.199199199199199,0.449449449449449,0.001001001001001,999,999,999,999,999
-1025000:-3225000,-1025000,-3225000,565,565,789,758,231,0.565565565565566,0.565565565565566,0.78978978978979,0.758758758758759,0.231231231231231,999,999,999,999,999
-1025000:-3275000,-1025000,-3275000,242,242,477,505,156,0.242242242242242,0.242242242242242,0.477477477477477,0.505505505505506,0.156156156156156,999,999,999,999,999
-1025000:-3325000,-1025000,-3325000,143,143,383,437,121,0.143143143143143,0.143143143143143,0.383383383383383,0.437437437437437,0.121121121121121,999,999,999,999,999
-1025000:-3375000,-1025000,-3375000,75,75,138,198,252,0.0750750750750751,0.0750750750750751,0.138138138138138,0.198198198198198,0.252252252252252,999,999,999,999,999
-1025000:-3425000,-1025000,-3425000,442,442,326,295,587,0.442442442442442,0.442442442442442,0.326326326326326,0.295295295295295,0.587587587587588,999,999,999,999,999
-1025000:-3475000,-1025000,-3475000,747,747,727,736,654,0.747747747747748,0.747747747747748,0.727727727727728,0.736736736736737,0.654654654654655,999,999,999,999,999
-1025000:-3525000,-1025000,-3525000,788,788,709,729,751,0.788788788788789,0.788788788788789,0.70970970970971,0.72972972972973,0.751751751751752,999,999,999,999,999
-1025000:-3575000,-1025000,-3575000,976,976,929,971,949,0.976976976976977,0.976976976976977,0.92992992992993,0.971971971971972,0.94994994994995,999,999,999,999,999
-1025000:-3625000,-1025000,-3625000,939,939,436,212,991,0.93993993993994,0.93993993993994,0.436436436436436,0.212212212212212,0.991991991991992,999,999,999,999,999
-1025000:-3675000,-1025000,-3675000,888,888,155,11,988,0.888888888888889,0.888888888888889,0.155155155155155,0.011011011011011,0.988988988988989,999,999,999,999,999
-1025000:-3725000,-1025000,-3725000,979,979,834,937,989,0.97997997997998,0.97997997997998,0.834834834834835,0.937937937937938,0.98998998998999,999,999,999,999,999
-1075000:-2025000,-1075000,-2025000,342,342,609,622,153,0.342342342342342,0.342342342342342,0.60960960960961,0.622622622622623,0.153153153153153,999,999,999,999,999
-1075000:-2075000,-1075000,-2075000,268,268,645,639,72,0.268268268268268,0.268268268268268,0.645645645645646,0.63963963963964,0.0720720720720721,999,999,999,999,999
-1075000:-2125000,-1075000,-2125000,853,853,880,882,692,0.853853853853854,0.853853853853854,0.880880880880881,0.882882882882883,0.692692692692693,999,999,999,999,999
-1075000:-2175000,-1075000,-2175000,970,970,371,9,993,0.970970970970971,0.970970970970971,0.371371371371371,0.00900900900900901,0.993993993993994,999,999,999,999,999
-1075000:-2325000,-1075000,-2325000,653,653,600,574,506,0.653653653653654,0.653653653653654,0.600600600600601,0.574574574574575,0.506506506506507,999,999,999,999,999
-1075000:-2375000,-1075000,-2375000,971,971,906,964,944,0.971971971971972,0.971971971971972,0.906906906906907,0.964964964964965,0.944944944944945,999,999,999,999,999
-1075000:-2425000,-1075000,-2425000,728,728,658,576,653,0.728728728728729,0.728728728728729,0.658658658658659,0.576576576576577,0.653653653653654,999,999,999,999,999
-1075000:-2475000,-1075000,-2475000,876,876,692,707,879,0.876876876876877,0.876876876876877,0.692692692692693,0.707707707707708,0.87987987987988,999,999,999,999,999
-1075000:-2525000,-1075000,-2525000,716,716,576,528,701,0.716716716716717,0.716716716716717,0.576576576576577,0.528528528528528,0.701701701701702,999,999,999,999,999
-1075000:-2625000,-1075000,-2625000,186,186,571,617,43,0.186186186186186,0.186186186186186,0.571571571571572,0.617617617617618,0.043043043043043,999,999,999,999,999
-1075000:-2675000,-1075000,-2675000,74,74,212,385,296,0.0740740740740741,0.0740740740740741,0.212212212212212,0.385385385385385,0.296296296296296,999,999,999,999,999
-1075000:-2775000,-1075000,-2775000,521,521,759,750,227,0.521521521521522,0.521521521521522,0.75975975975976,0.750750750750751,0.227227227227227,999,999,999,999,999
-1075000:-2825000,-1075000,-2825000,891,891,288,19,964,0.891891891891892,0.891891891891892,0.288288288288288,0.019019019019019,0.964964964964965,999,999,999,999,999
-1075000:-2875000,-1075000,-2875000,305,305,628,633,114,0.305305305305305,0.305305305305305,0.628628628628629,0.633633633633634,0.114114114114114,999,999,999,999,999
-1075000:-2925000,-1075000,-2925000,186,186,359,434,157,0.186186186186186,0.186186186186186,0.359359359359359,0.434434434434434,0.157157157157157,999,999,999,999,999
-1075000:-2975000,-1075000,-2975000,550,550,640,643,421,0.550550550550551,0.550550550550551,0.640640640640641,0.643643643643644,0.421421421421421,999,999,999,999,999
-1075000:-3025000,-1075000,-3025000,561,561,359,241,698,0.561561561561562,0.561561561561562,0.359359359359359,0.241241241241241,0.698698698698699,999,999,999,999,999
-1075000:-3075000,-1075000,-3075000,165,165,174,227,386,0.165165165165165,0.165165165165165,0.174174174174174,0.227227227227227,0.386386386386386,999,999,999,999,999
-1075000:-3125000,-1075000,-3125000,5,5,139,370,9,0.005005005005005,0.005005005005005,0.139139139139139,0.37037037037037,0.00900900900900901,999,999,999,999,999
-1075000:-3175000,-1075000,-3175000,11,11,183,423,43,0.011011011011011,0.011011011011011,0.183183183183183,0.423423423423423,0.043043043043043,999,999,999,999,999
-1075000:-3225000,-1075000,-3225000,270,270,480,528,192,0.27027027027027,0.27027027027027,0.48048048048048,0.528528528528528,0.192192192192192,999,999,999,999,999
-1075000:-3275000,-1075000,-3275000,32,32,50,168,279,0.032032032032032,0.032032032032032,0.0500500500500501,0.168168168168168,0.279279279279279,999,999,999,999,999
-1075000:-3325000,-1075000,-3325000,65,65,157,297,170,0.0650650650650651,0.0650650650650651,0.157157157157157,0.297297297297297,0.17017017017017,999,999,999,999,999
-1075000:-3375000,-1075000,-3375000,419,419,336,282,554,0.419419419419419,0.419419419419419,0.336336336336336,0.282282282282282,0.554554554554555,999,999,999,999,999
-1075000:-3425000,-1075000,-3425000,466,466,218,163,728,0.466466466466466,0.466466466466466,0.218218218218218,0.163163163163163,0.728728728728729,999,999,999,999,999
-1075000:-3475000,-1075000,-3475000,707,707,326,110,875,0.707707707707708,0.707707707707708,0.326326326326326,0.11011011011011,0.875875875875876,999,999,999,999,999
-1075000:-3525000,-1075000,-3525000,504,504,276,169,711,0.504504504504504,0.504504504504504,0.276276276276276,0.169169169169169,0.711711711711712,999,999,999,999,999
-1075000:-3575000,-1075000,-3575000,775,775,782,799,605,0.775775775775776,0.775775775775776,0.782782782782783,0.7997997997998,0.605605605605606,999,999,999,999,999
-1075000:-3625000,-1075000,-3625000,959,959,816,896,957,0.95995995995996,0.95995995995996,0.816816816816817,0.896896896896897,0.957957957957958,999,999,999,999,999
-1075000:-3675000,-1075000,-3675000,987,987,922,977,986,0.987987987987988,0.987987987987988,0.922922922922923,0.977977977977978,0.986986986986987,999,999,999,999,999
-1075000:-3725000,-1075000,-3725000,996,996,886,983,999,0.996996996996997,0.996996996996997,0.886886886886887,0.983983983983984,1,999,999,999,999,999
-1075000:-3775000,-1075000,-3775000,999,999,952,997,998,1,1,0.952952952952953,0.997997997997998,0.998998998998999,999,999,999,999,999
-1125000:-2075000,-1125000,-2075000,563,563,768,755,185,0.563563563563564,0.563563563563564,0.768768768768769,0.755755755755756,0.185185185185185,999,999,999,999,999
-1125000:-2125000,-1125000,-2125000,72,72,139,279,253,0.0720720720720721,0.0720720720720721,0.139139139139139,0.279279279279279,0.253253253253253,999,999,999,999,999
-1125000:-2175000,-1125000,-2175000,815,815,829,851,680,0.815815815815816,0.815815815815816,0.82982982982983,0.851851851851852,0.680680680680681,999,999,999,999,999
-1125000:-2225000,-1125000,-2225000,460,460,548,541,362,0.46046046046046,0.46046046046046,0.548548548548549,0.541541541541542,0.362362362362362,999,999,999,999,999
-1125000:-2275000,-1125000,-2275000,479,479,211,121,764,0.479479479479479,0.479479479479479,0.211211211211211,0.121121121121121,0.764764764764765,999,999,999,999,999
-1125000:-2325000,-1125000,-2325000,206,206,151,165,464,0.206206206206206,0.206206206206206,0.151151151151151,0.165165165165165,0.464464464464464,999,999,999,999,999
-1125000:-2375000,-1125000,-2375000,986,986,920,979,968,0.986986986986987,0.986986986986987,0.920920920920921,0.97997997997998,0.968968968968969,999,999,999,999,999
-1125000:-2425000,-1125000,-2425000,682,682,278,88,888,0.682682682682683,0.682682682682683,0.278278278278278,0.0880880880880881,0.888888888888889,999,999,999,999,999
-1125000:-2475000,-1125000,-2475000,617,617,292,153,832,0.617617617617618,0.617617617617618,0.292292292292292,0.153153153153153,0.832832832832833,999,999,999,999,999
-1125000:-2525000,-1125000,-2525000,433,433,387,356,529,0.433433433433433,0.433433433433433,0.387387387387387,0.356356356356356,0.529529529529529,999,999,999,999,999
-1125000:-2575000,-1125000,-2575000,713,713,831,821,414,0.713713713713714,0.713713713713714,0.831831831831832,0.821821821821822,0.414414414414414,999,999,999,999,999
-1125000:-2625000,-1125000,-2625000,309,309,629,634,129,0.309309309309309,0.309309309309309,0.62962962962963,0.634634634634635,0.129129129129129,999,999,999,999,999
-1125000:-2675000,-1125000,-2675000,665,665,632,591,512,0.665665665665666,0.665665665665666,0.632632632632633,0.591591591591592,0.512512512512513,999,999,999,999,999
-1125000:-2725000,-1125000,-2725000,537,537,479,457,458,0.537537537537538,0.537537537537538,0.479479479479479,0.457457457457457,0.458458458458458,999,999,999,999,999
-1125000:-2775000,-1125000,-2775000,295,295,528,556,212,0.295295295295295,0.295295295295295,0.528528528528528,0.556556556556557,0.212212212212212,999,999,999,999,999
-1125000:-2825000,-1125000,-2825000,32,32,78,238,351,0.032032032032032,0.032032032032032,0.0780780780780781,0.238238238238238,0.351351351351351,999,999,999,999,999
-1125000:-2925000,-1125000,-2925000,510,510,711,696,251,0.510510510510511,0.510510510510511,0.711711711711712,0.696696696696697,0.251251251251251,999,999,999,999,999
-1125000:-2975000,-1125000,-2975000,497,497,880,813,43,0.497497497497497,0.497497497497497,0.880880880880881,0.813813813813814,0.043043043043043,999,999,999,999,999
-1125000:-3025000,-1125000,-3025000,152,152,337,407,180,0.152152152152152,0.152152152152152,0.337337337337337,0.407407407407407,0.18018018018018,999,999,999,999,999
-1125000:-3075000,-1125000,-3075000,283,283,199,193,500,0.283283283283283,0.283283283283283,0.199199199199199,0.193193193193193,0.500500500500501,999,999,999,999,999
-1125000:-3125000,-1125000,-3125000,546,546,246,160,771,0.546546546546547,0.546546546546547,0.246246246246246,0.16016016016016,0.771771771771772,999,999,999,999,999
-1125000:-3175000,-1125000,-3175000,82,82,204,365,284,0.0820820820820821,0.0820820820820821,0.204204204204204,0.365365365365365,0.284284284284284,999,999,999,999,999
-1125000:-3225000,-1125000,-3225000,761,761,804,814,559,0.761761761761762,0.761761761761762,0.804804804804805,0.814814814814815,0.55955955955956,999,999,999,999,999
-1125000:-3275000,-1125000,-3275000,81,81,413,528,31,0.0810810810810811,0.0810810810810811,0.413413413413413,0.528528528528528,0.031031031031031,999,999,999,999,999
-1125000:-3325000,-1125000,-3325000,730,730,516,330,765,0.730730730730731,0.730730730730731,0.516516516516517,0.33033033033033,0.765765765765766,999,999,999,999,999
-1125000:-3375000,-1125000,-3375000,542,542,204,114,798,0.542542542542543,0.542542542542543,0.204204204204204,0.114114114114114,0.798798798798799,999,999,999,999,999
-1125000:-3425000,-1125000,-3425000,528,528,460,433,607,0.528528528528528,0.528528528528528,0.46046046046046,0.433433433433433,0.607607607607608,999,999,999,999,999
