ELEMENT,Axis_0,Axis_1,PE_WE,PE_WE_P,PHYLO_RPE2,PHYLO_RPE_DIFF2,PHYLO_RPE_NULL2
-1125000:-3475000,-1125000,-3475000,,,,,
-1125000:-3525000,-1125000,-3525000,,,,,
-1125000:-3575000,-1125000,-3575000,,,,,
-1125000:-3625000,-1125000,-3625000,0.982982982982983,0.982982982982983,,,0.993993993993994
-1125000:-3675000,-1125000,-3675000,0.978978978978979,0.978978978978979,,,0.998998998998999
-1125000:-3725000,-1125000,-3725000,0.992992992992993,0.992992992992993,,0.970970970970971,1
-1125000:-3775000,-1125000,-3775000,0.995995995995996,0.995995995995996,,0.992992992992993,1
-1125000:-3825000,-1125000,-3825000,,,,0.00800800800800801,0.96996996996997
-1175000:-2175000,-1175000,-2175000,,,,,
-1175000:-2225000,-1175000,-2225000,0.950950950950951,0.950950950950951,,,
-1175000:-2275000,-1175000,-2275000,,,,,
-1175000:-2325000,-1175000,-2325000,,,,,
-1175000:-2375000,-1175000,-2375000,0.990990990990991,0.990990990990991,,0.982982982982983,0.986986986986987
-1175000:-2425000,-1175000,-2425000,,,,,0.98998998998999
-1175000:-2475000,-1175000,-2475000,,,,,
-1175000:-2525000,-1175000,-2525000,,,,,
-1175000:-2575000,-1175000,-2575000,,,,,
-1175000:-2625000,-1175000,-2625000,,,,,
-1175000:-2675000,-1175000,-2675000,,,,,
-1175000:-2725000,-1175000,-2725000,,,,,
-1175000:-2775000,-1175000,-2775000,,,,,
-1175000:-2825000,-1175000,-2825000,,,,,0.033033033033033
-1175000:-2875000,-1175000,-2875000,,,,,0.049049049049049
-1175000:-2925000,-1175000,-2925000,0.042042042042042,0.042042042042042,,,0.033033033033033
-1175000:-2975000,-1175000,-2975000,,,,,
-1175000:-3025000,-1175000,-3025000,,,,,
-1175000:-3075000,-1175000,-3075000,,,,,
-1175000:-3125000,-1175000,-3125000,,,,,
-1175000:-3175000,-1175000,-3175000,,,,,
-1175000:-3225000,-1175000,-3225000,,,,,
-1175000:-3275000,-1175000,-3275000,0.963963963963964,0.963963963963964,0.980980980980981,0.976976976976977,
-1175000:-3325000,-1175000,-3325000,,,,,
-1175000:-3375000,-1175000,-3375000,0.995995995995996,0.995995995995996,,0.992992992992993,1
-1175000:-3425000,-1175000,-3425000,,,,,
-1175000:-3475000,-1175000,-3475000,0.982982982982983,0.982982982982983,0.957957957957958,0.982982982982983,
-1175000:-3525000,-1175000,-3525000,,,,,
-1175000:-3575000,-1175000,-3575000,0.95995995995996,0.95995995995996,,,0.993993993993994
-1175000:-3625000,-1175000,-3625000,0.984984984984985,0.984984984984985,,,0.997997997997998
